>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 0
loss: 0.6869, acc: 0.5312
loss: 0.7617, acc: 0.4531
loss: 0.7223, acc: 0.4896
loss: 0.7070, acc: 0.5234
loss: 0.7253, acc: 0.5125
loss: 0.7096, acc: 0.5260
loss: 0.7129, acc: 0.5312
loss: 0.7176, acc: 0.5352
loss: 0.7292, acc: 0.5278
loss: 0.7341, acc: 0.5281
loss: 0.7351, acc: 0.5284
loss: 0.7379, acc: 0.5156
loss: 0.7357, acc: 0.5144
loss: 0.7329, acc: 0.5156
loss: 0.7296, acc: 0.5208
loss: 0.7374, acc: 0.5156
loss: 0.7414, acc: 0.5147
loss: 0.7415, acc: 0.5156
loss: 0.7431, acc: 0.5132
loss: 0.7406, acc: 0.5141
> max_val_f1: 0.0000, max_val_acc: 0.0000
> val_acc: 0.3971, val_f1: 0.5672, val_precision: 0.3970, val_recall: 0.9927
>> saved: /hy-tmp/models/best_state/CM_BERT_TEXT_IN_IMG_TEXT
loss: 0.7387, acc: 0.5074
loss: 0.7379, acc: 0.5043
loss: 0.7341, acc: 0.5109
loss: 0.7341, acc: 0.5104
loss: 0.7348, acc: 0.5100
loss: 0.7321, acc: 0.5144
loss: 0.7327, acc: 0.5139
loss: 0.7351, acc: 0.5100
loss: 0.7361, acc: 0.5065
loss: 0.7352, acc: 0.5042
loss: 0.7339, acc: 0.5030
loss: 0.7328, acc: 0.5039
loss: 0.7323, acc: 0.5019
loss: 0.7308, acc: 0.5037
loss: 0.7299, acc: 0.5045
loss: 0.7301, acc: 0.5026
loss: 0.7308, acc: 0.4992
loss: 0.7311, acc: 0.4942
loss: 0.7300, acc: 0.4952
loss: 0.7288, acc: 0.4961
> max_val_f1: 0.5672, max_val_acc: 0.3971
> val_acc: 0.6058, val_f1: 0.0206, val_precision: 0.9091, val_recall: 0.0104
>> saved: /hy-tmp/models/best_state/CM_BERT_TEXT_IN_IMG_TEXT
loss: 0.7284, acc: 0.4947
loss: 0.7285, acc: 0.4933
loss: 0.7286, acc: 0.4927
loss: 0.7280, acc: 0.4915
loss: 0.7270, acc: 0.4931
loss: 0.7263, acc: 0.4918
loss: 0.7254, acc: 0.4940
loss: 0.7248, acc: 0.4948
loss: 0.7247, acc: 0.4943
loss: 0.7242, acc: 0.4950
loss: 0.7246, acc: 0.4920
loss: 0.7234, acc: 0.4934
loss: 0.7225, acc: 0.4953
loss: 0.7217, acc: 0.4965
loss: 0.7206, acc: 0.4983
loss: 0.7208, acc: 0.4983
loss: 0.7207, acc: 0.4984
loss: 0.7209, acc: 0.4978
loss: 0.7193, acc: 0.4995
loss: 0.7176, acc: 0.5031
> max_val_f1: 0.0206, max_val_acc: 0.6058
> val_acc: 0.6759, val_f1: 0.6345, val_precision: 0.5756, val_recall: 0.7070
>> saved: /hy-tmp/models/best_state/CM_BERT_TEXT_IN_IMG_TEXT
loss: 0.7161, acc: 0.5067
loss: 0.7136, acc: 0.5131
loss: 0.7122, acc: 0.5164
loss: 0.7111, acc: 0.5190
loss: 0.7088, acc: 0.5221
loss: 0.7062, acc: 0.5260
loss: 0.7028, acc: 0.5312
loss: 0.7009, acc: 0.5331
loss: 0.6984, acc: 0.5362
loss: 0.6944, acc: 0.5402
loss: 0.6925, acc: 0.5431
loss: 0.6931, acc: 0.5443
loss: 0.6905, acc: 0.5462
loss: 0.6881, acc: 0.5486
loss: 0.6842, acc: 0.5517
loss: 0.6823, acc: 0.5535
loss: 0.6787, acc: 0.5564
loss: 0.6750, acc: 0.5593
loss: 0.6699, acc: 0.5641
loss: 0.6698, acc: 0.5660
> max_val_f1: 0.6345, max_val_acc: 0.6759
> val_acc: 0.7033, val_f1: 0.5578, val_precision: 0.6854, val_recall: 0.4703
>> saved: /hy-tmp/models/best_state/CM_BERT_TEXT_IN_IMG_TEXT
loss: 0.6683, acc: 0.5679
loss: 0.6663, acc: 0.5694
loss: 0.6678, acc: 0.5704
loss: 0.6651, acc: 0.5740
loss: 0.6625, acc: 0.5761
loss: 0.6608, acc: 0.5781
loss: 0.6600, acc: 0.5808
loss: 0.6590, acc: 0.5820
loss: 0.6580, acc: 0.5836
loss: 0.6570, acc: 0.5851
loss: 0.6554, acc: 0.5869
loss: 0.6541, acc: 0.5887
loss: 0.6530, acc: 0.5897
loss: 0.6527, acc: 0.5901
loss: 0.6515, acc: 0.5908
loss: 0.6495, acc: 0.5931
loss: 0.6483, acc: 0.5944
loss: 0.6481, acc: 0.5947
loss: 0.6463, acc: 0.5963
loss: 0.6452, acc: 0.5978
> max_val_f1: 0.5578, max_val_acc: 0.7033
> val_acc: 0.7183, val_f1: 0.5446, val_precision: 0.7632, val_recall: 0.4234
>> saved: /hy-tmp/models/best_state/CM_BERT_TEXT_IN_IMG_TEXT
loss: 0.6431, acc: 0.6002
loss: 0.6413, acc: 0.6020
loss: 0.6401, acc: 0.6047
loss: 0.6383, acc: 0.6067
loss: 0.6370, acc: 0.6074
loss: 0.6343, acc: 0.6100
loss: 0.6324, acc: 0.6116
loss: 0.6305, acc: 0.6140
loss: 0.6280, acc: 0.6155
loss: 0.6259, acc: 0.6176
loss: 0.6234, acc: 0.6197
loss: 0.6223, acc: 0.6208
loss: 0.6226, acc: 0.6214
loss: 0.6214, acc: 0.6234
loss: 0.6195, acc: 0.6250
loss: 0.6176, acc: 0.6263
loss: 0.6179, acc: 0.6269
loss: 0.6156, acc: 0.6284
loss: 0.6124, acc: 0.6308
loss: 0.6111, acc: 0.6323
> max_val_f1: 0.5446, max_val_acc: 0.7183
> val_acc: 0.7485, val_f1: 0.6847, val_precision: 0.6833, val_recall: 0.6861
>> saved: /hy-tmp/models/best_state/CM_BERT_TEXT_IN_IMG_TEXT
loss: 0.6088, acc: 0.6340
loss: 0.6069, acc: 0.6358
loss: 0.6049, acc: 0.6372
loss: 0.6033, acc: 0.6379
loss: 0.6031, acc: 0.6388
loss: 0.6031, acc: 0.6384
loss: 0.6003, acc: 0.6405
loss: 0.5983, acc: 0.6426
loss: 0.5989, acc: 0.6424
loss: 0.5979, acc: 0.6428
loss: 0.5964, acc: 0.6441
loss: 0.5952, acc: 0.6451
loss: 0.5942, acc: 0.6461
loss: 0.5928, acc: 0.6481
loss: 0.5911, acc: 0.6495
loss: 0.5899, acc: 0.6507
loss: 0.5893, acc: 0.6510
loss: 0.5891, acc: 0.6504
loss: 0.5882, acc: 0.6520
loss: 0.5867, acc: 0.6533
> max_val_f1: 0.6847, max_val_acc: 0.7485
> val_acc: 0.7589, val_f1: 0.6704, val_precision: 0.7351, val_recall: 0.6163
>> saved: /hy-tmp/models/best_state/CM_BERT_TEXT_IN_IMG_TEXT
loss: 0.5848, acc: 0.6551
loss: 0.5828, acc: 0.6565
loss: 0.5812, acc: 0.6576
loss: 0.5802, acc: 0.6586
loss: 0.5778, acc: 0.6606
loss: 0.5781, acc: 0.6610
loss: 0.5763, acc: 0.6626
loss: 0.5743, acc: 0.6639
