>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 0
loss: 0.6548, acc: 0.6250
loss: 0.8070, acc: 0.6094
loss: 0.8148, acc: 0.5938
loss: 0.7993, acc: 0.5938
loss: 0.7805, acc: 0.5875
loss: 0.7417, acc: 0.6146
loss: 0.7316, acc: 0.6161
loss: 0.7260, acc: 0.6055
loss: 0.7094, acc: 0.6146
loss: 0.7211, acc: 0.6094
loss: 0.7438, acc: 0.5994
loss: 0.7518, acc: 0.5964
loss: 0.7416, acc: 0.6058
loss: 0.7418, acc: 0.6094
loss: 0.7421, acc: 0.6042
loss: 0.7339, acc: 0.6133
loss: 0.7255, acc: 0.6140
loss: 0.7154, acc: 0.6198
loss: 0.7093, acc: 0.6217
loss: 0.7109, acc: 0.6188
> max_val_f1: 0.0000, max_val_acc: 0.0000
> val_acc: 0.6726, val_f1: 0.5484, val_precision: 0.6079, val_recall: 0.4995
>> saved: /hy-tmp/models/best_state/CM_VIT2
loss: 0.7037, acc: 0.6265
loss: 0.7054, acc: 0.6278
loss: 0.7020, acc: 0.6291
loss: 0.7000, acc: 0.6328
loss: 0.6978, acc: 0.6338
loss: 0.6887, acc: 0.6394
loss: 0.6837, acc: 0.6435
loss: 0.6853, acc: 0.6395
loss: 0.6826, acc: 0.6433
loss: 0.6784, acc: 0.6479
loss: 0.6731, acc: 0.6502
loss: 0.6717, acc: 0.6465
loss: 0.6692, acc: 0.6477
loss: 0.6706, acc: 0.6461
loss: 0.6663, acc: 0.6491
loss: 0.6635, acc: 0.6510
loss: 0.6638, acc: 0.6520
loss: 0.6615, acc: 0.6554
loss: 0.6574, acc: 0.6587
loss: 0.6558, acc: 0.6594
> max_val_f1: 0.5484, max_val_acc: 0.6726
> val_acc: 0.6539, val_f1: 0.6073, val_precision: 0.5536, val_recall: 0.6726
loss: 0.6551, acc: 0.6585
loss: 0.6546, acc: 0.6577
loss: 0.6529, acc: 0.6592
loss: 0.6509, acc: 0.6612
loss: 0.6504, acc: 0.6611
loss: 0.6470, acc: 0.6624
loss: 0.6478, acc: 0.6602
loss: 0.6458, acc: 0.6634
loss: 0.6457, acc: 0.6658
loss: 0.6430, acc: 0.6687
loss: 0.6425, acc: 0.6673
loss: 0.6413, acc: 0.6683
loss: 0.6395, acc: 0.6692
loss: 0.6422, acc: 0.6655
loss: 0.6458, acc: 0.6631
loss: 0.6451, acc: 0.6624
loss: 0.6467, acc: 0.6590
loss: 0.6460, acc: 0.6584
loss: 0.6453, acc: 0.6584
loss: 0.6425, acc: 0.6604
> max_val_f1: 0.5484, max_val_acc: 0.6726
> val_acc: 0.6328, val_f1: 0.6392, val_precision: 0.5248, val_recall: 0.8175
loss: 0.6414, acc: 0.6619
loss: 0.6415, acc: 0.6608
loss: 0.6397, acc: 0.6622
loss: 0.6380, acc: 0.6636
loss: 0.6364, acc: 0.6639
loss: 0.6365, acc: 0.6629
loss: 0.6375, acc: 0.6618
loss: 0.6371, acc: 0.6613
loss: 0.6367, acc: 0.6626
loss: 0.6372, acc: 0.6616
loss: 0.6353, acc: 0.6633
loss: 0.6362, acc: 0.6628
loss: 0.6366, acc: 0.6622
loss: 0.6363, acc: 0.6634
loss: 0.6363, acc: 0.6621
loss: 0.6368, acc: 0.6620
loss: 0.6356, acc: 0.6623
loss: 0.6326, acc: 0.6647
loss: 0.6323, acc: 0.6657
loss: 0.6311, acc: 0.6664
> max_val_f1: 0.5484, max_val_acc: 0.6726
> val_acc: 0.6705, val_f1: 0.6439, val_precision: 0.5649, val_recall: 0.7487
loss: 0.6296, acc: 0.6671
loss: 0.6288, acc: 0.6677
loss: 0.6262, acc: 0.6702
loss: 0.6278, acc: 0.6700
loss: 0.6275, acc: 0.6695
loss: 0.6246, acc: 0.6715
loss: 0.6234, acc: 0.6728
loss: 0.6229, acc: 0.6729
loss: 0.6225, acc: 0.6724
loss: 0.6218, acc: 0.6729
loss: 0.6195, acc: 0.6748
loss: 0.6199, acc: 0.6746
loss: 0.6182, acc: 0.6757
loss: 0.6178, acc: 0.6765
loss: 0.6159, acc: 0.6773
loss: 0.6151, acc: 0.6777
loss: 0.6161, acc: 0.6769
loss: 0.6160, acc: 0.6760
loss: 0.6153, acc: 0.6761
loss: 0.6138, acc: 0.6769
> max_val_f1: 0.5484, max_val_acc: 0.6726
> val_acc: 0.6809, val_f1: 0.6357, val_precision: 0.5825, val_recall: 0.6997
>> saved: /hy-tmp/models/best_state/CM_VIT2
loss: 0.6128, acc: 0.6776
loss: 0.6120, acc: 0.6777
loss: 0.6116, acc: 0.6781
loss: 0.6101, acc: 0.6794
loss: 0.6101, acc: 0.6798
loss: 0.6106, acc: 0.6792
loss: 0.6099, acc: 0.6799
loss: 0.6085, acc: 0.6808
loss: 0.6094, acc: 0.6795
loss: 0.6098, acc: 0.6793
loss: 0.6090, acc: 0.6796
loss: 0.6083, acc: 0.6797
