862902619928506372 1 1 [-7.883670806884766, -6.025139808654785] 
892551658487631873 1 1 [-7.990397930145264, -7.1253557205200195] 
853143461360480256 0 1 [-5.717339992523193, -6.527715682983398] 
918423568823840768 1 1 [-7.341310977935791, -6.222983360290527] 
731617467718610944 1 1 [-8.052748680114746, -7.387775897979736] 
684633048483106816 1 1 [-8.011495590209961, -7.498193740844727] 
722492930016026624 1 1 [-8.034456253051758, -7.71552848815918] 
702345480924041217 1 1 [-7.585721492767334, -6.6719255447387695] 
859056671179636737 1 1 [-7.466949939727783, -7.248920917510986] 
923929354610053120 0 1 [-6.2041335105896, -7.994552135467529] 
919651889511313408 0 1 [-6.883829593658447, -7.41933012008667] 
877816574240972802 1 1 [-14.177730560302734, -11.770888328552246] 
806888630031622148 1 1 [-7.211548328399658, -6.978321075439453] 
712810737811505153 1 1 [-8.071481704711914, -5.687273979187012] 
894741372527411200 0 1 [-5.396480560302734, -7.415089130401611] 
732682873166159872 1 1 [-7.578628063201904, -6.496438026428223] 
722871462915235842 1 1 [-7.308740139007568, -7.204122066497803] 
839086335096942592 1 1 [-7.280765533447266, -7.221214294433594] 
802576734117691392 0 1 [-6.363187313079834, -6.899805068969727] 
726980104090456065 1 1 [-7.790472030639648, -7.601955413818359] 
939714200456318981 1 1 [-7.371899127960205, -5.967471599578857] 
884901385141190657 0 1 [-6.429341793060303, -7.116958141326904] 
824024594755518464 1 1 [-7.834671497344971, -7.080160617828369] 
895860997054799872 0 1 [-5.759002685546875, -7.8574981689453125] 
924449074568400896 1 1 [-7.622532844543457, -6.550825595855713] 
840225661117706240 1 1 [-8.413312911987305, -6.555485725402832] 
821997332346437632 1 1 [-7.75523042678833, -7.263210773468018] 
863886502698156032 1 1 [-7.383530139923096, -6.364228248596191] 
736082451424890881 0 1 [-6.523833751678467, -7.7630510330200195] 
821870486372155393 1 1 [-7.452099323272705, -6.11481237411499] 
914153415105753092 0 1 [-3.921327590942383, -7.845822334289551] 
712023362784989184 0 1 [-6.955298900604248, -7.092211723327637] 
890941969404383232 1 1 [-6.595876216888428, -6.383703231811523] 
920605091429797889 0 1 [-6.195620536804199, -6.677103519439697] 
829756733916585984 1 1 [-8.860814094543457, -7.752236366271973] 
755115255114629124 0 1 [-6.749898433685303, -7.274413108825684] 
871437724158480385 0 1 [-7.586172580718994, -7.623984336853027] 
900709797233864704 1 1 [-13.182744979858398, -9.492249488830566] 
900881230580916224 0 1 [-4.724184036254883, -8.50186824798584] 
902016654288326656 1 1 [-7.7835588455200195, -7.499348163604736] 
918550230546690048 1 1 [-7.241022109985352, -6.842792510986328] 
684751563454205952 1 1 [-7.98865270614624, -5.7730712890625] 
728697454175080449 0 1 [-7.160029888153076, -7.173381805419922] 
885954652336001024 1 1 [-8.973018646240234, -7.501751899719238] 
721349486790975488 1 1 [-9.128314971923828, -6.6879682540893555] 
712994516379283457 1 1 [-6.734358310699463, -6.393864631652832] 
703292803229421568 1 1 [-8.097084045410156, -7.665595054626465] 
823321127758004224 0 1 [-7.445857524871826, -7.563348770141602] 
823526446555602945 1 1 [-8.179319381713867, -6.659531593322754] 
830103394714939392 1 1 [-7.193748950958252, -6.719181537628174] 
710449542982819840 0 1 [-5.7319722175598145, -7.303316593170166] 
832320772295237636 1 1 [-9.081754684448242, -7.490851402282715] 
715660361593020417 1 1 [-8.445575714111328, -7.885476112365723] 
828188799037497344 1 1 [-7.106129169464111, -6.887351036071777] 
700183392969756672 0 1 [-4.871223449707031, -7.224012851715088] 
687723279520526336 0 1 [-7.025927543640137, -7.119093894958496] 
851299799299174400 1 1 [-8.255290985107422, -6.522073745727539] 
693529529214611457 1 1 [-7.215963363647461, -7.003448486328125] 
823616855252336640 0 1 [-7.463497161865234, -7.560910701751709] 
698723413162987521 0 1 [-6.639824390411377, -7.300364971160889] 
849109445581824001 1 1 [-8.358931541442871, -6.841005802154541] 
794191412954853380 1 1 [-8.288251876831055, -7.231218338012695] 
835436807953215490 1 1 [-8.308791160583496, -7.37205696105957] 
690561903580418048 1 1 [-7.625480651855469, -7.1798248291015625] 
882067719184674816 0 1 [-4.936902046203613, -7.442878723144531] 
850127880029970432 1 1 [-7.76275110244751, -7.097561836242676] 
853859121694724096 0 1 [-6.93690824508667, -7.44776725769043] 
882363765655834624 1 1 [-7.352838516235352, -6.7668304443359375] 
921278376085803008 0 1 [-6.658392906188965, -7.986216068267822] 
817523663897501696 1 1 [-7.200649738311768, -4.6676764488220215] 
828966943214432256 0 1 [-8.103073120117188, -8.120375633239746] 
709380107203260417 1 1 [-7.022053241729736, -6.9177117347717285] 
700626309228183552 1 1 [-7.459097385406494, -6.68765926361084] 
717042051074891776 1 1 [-8.762643814086914, -7.981897354125977] 
823971155061116928 1 1 [-7.303435802459717, -6.86287784576416] 
692846957883076608 0 1 [-4.21410608291626, -7.450255393981934] 
865488370838851585 1 1 [-9.715517044067383, -8.645968437194824] 
827027433173889024 1 1 [-8.161581039428711, -6.952243804931641] 
837546519892877313 0 1 [-6.307327747344971, -7.197376251220703] 
717616608114511872 1 1 [-6.938828945159912, -6.714444160461426] 
921594955138781184 1 1 [-8.354928016662598, -7.739603519439697] 
900535065507241986 0 1 [-4.2553815841674805, -7.946027755737305] 
884496200661184512 0 1 [-7.408202171325684, -7.502711772918701] 
706657778140471298 1 1 [-7.922692775726318, -7.4086222648620605] 
821509072222650371 1 1 [-8.518007278442383, -7.7784271240234375] 
818541279554498561 1 1 [-9.904008865356445, -6.277125835418701] 
844090891266490368 1 1 [-7.514258861541748, -6.03427791595459] 
